model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
joint_rf,ThomasAM_2018a,0.8433908045977012,53,0.5383501202443928,0.12339264274660061,0.2036718953762065,0.9500565148602879,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
joint_xgb,ThomasAM_2018a,0.742816091954023,53,0.6574741865877273,0.33188521004716354,0.6653020258922622,0.5201622915979525,0.49056603773584906,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
mechanism_only,ThomasAM_2018a,0.55316091954023,53,0.48531828320689574,0.04098108329623946,0.07222150335687659,0.9944655940918541,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
mechanism_plus_parent,ThomasAM_2018a,0.6781609195402298,53,0.498725677270349,0.0976176238806665,0.1631392279256686,0.9717998127166931,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
parent_species_only,ThomasAM_2018a,0.7011494252873564,53,0.5044769048637268,0.09809164025213832,0.15926648928142756,0.9714587954920569,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
pathway_rf,ThomasAM_2018a,0.8160919540229884,53,0.5268642668280539,0.13224126474112544,0.21206995398844583,0.9451817208333235,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
species_rf,ThomasAM_2018a,0.6939655172413793,53,0.4989859956663596,0.13778773790680576,0.21870851540603278,0.9426215158730207,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
species_source_only,ThomasAM_2018a,0.6882183908045977,53,0.5009405172222854,0.12835603422366176,0.2007387774518671,0.9505133801217345,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
stratified_joint_rf,ThomasAM_2018a,0.7974137931034483,53,0.5525519336530246,0.14588279608985621,0.2655687682539632,0.9274294607998278,0.0,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
stratified_joint_xgb,ThomasAM_2018a,0.7744252873563219,53,0.6500837933447845,0.3461030535639038,0.6926783714443445,0.4907948410363403,0.5283018867924528,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
stratified_source_only,ThomasAM_2018a,0.7169540229885056,53,0.5570080992950233,0.15438871093502196,0.26868631335108933,0.9178150688159791,0.018867924528301886,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
gene_family_enet,ThomasAM_2018b,0.5703124999999999,60,0.5745640336496509,0.22659905815529213,0.3931177520630217,0.8139488725210217,0.11666666666666667,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
joint_rf,ThomasAM_2018b,0.7912946428571428,60,0.4347356262292059,0.16340895642200595,0.3054010045472817,0.9062248192065299,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
joint_xgb,ThomasAM_2018b,0.7611607142857143,60,0.3618778281592919,0.3757974146580265,0.7466660751534315,0.4142694843981427,0.6166666666666667,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
mechanism_only,ThomasAM_2018b,0.5535714285714286,60,0.49951444272506473,0.05919153637570671,0.09080599984898999,0.989741400188947,0.0,0.29184836799341973,1.52857249365842,0.1131898897542089,0.9472374250716705
