gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status
UniRef90_A0A176U5P3,2,2,0.0,0.4826303366174056,-0.05657327586206895,False,not_yet_assessed
UniRef90_Q8A767,2,2,0.5,0.4823994252873563,-0.02357861247947457,False,not_yet_assessed
UniRef90_A0A139TAG2,2,2,0.0,0.4812256260262726,-0.01762623152709364,False,not_yet_assessed
UniRef90_C5ER99,2,2,1.0,0.48080910852713177,0.02250000000000002,False,not_yet_assessed
UniRef90_E7GME2,2,2,0.0,0.48028273809523814,-0.03089080459770116,False,not_yet_assessed
UniRef90_A0A1E3AZP4,2,2,0.5,0.4791952519379845,0.004062015503875971,False,not_yet_assessed
UniRef90_A0A1Q6HKH0,2,2,0.0,0.4755875410509031,-0.07430213464696228,False,not_yet_assessed
UniRef90_A0A2N5NXF3,2,2,0.0,0.4746416035718608,-0.02154076843421776,False,not_yet_assessed
UniRef90_R5MMU2,2,2,0.0,0.4734387828407225,-0.07566194581280788,False,not_yet_assessed
UniRef90_K1FAD2,2,2,0.5,0.4709672965116279,0.024558139534883727,False,not_yet_assessed
UniRef90_R6E8V6,2,2,0.0,0.4644588977832512,-0.08012623152709364,False,not_yet_assessed
UniRef90_A0A1G8DID3,2,2,0.0,0.46374050697865354,-0.059292898193760324,False,not_yet_assessed
UniRef90_A0A396CIN6,2,2,0.0,0.46219468390804597,-0.05854885057471265,False,not_yet_assessed
UniRef90_A0A0P0FMY7,2,2,0.5,0.4597508723316913,0.00767138752052543,False,not_yet_assessed
UniRef90_Q8A2B0,2,2,0.0,0.4579741379310345,-0.07789408866995079,False,not_yet_assessed
UniRef90_A0A397WFR9,2,2,0.0,0.4553956280788177,-0.09662356321839083,False,not_yet_assessed
UniRef90_D4K6N1,2,2,0.0,0.4527629533576023,-0.058482040178606864,False,not_yet_assessed
UniRef90_F7LTX8,2,2,0.0,0.4502899220032841,-0.11224856321839083,False,not_yet_assessed
UniRef90_C9KYU1,2,2,0.5,0.4460950328407225,-0.00795361247947457,False,not_yet_assessed
UniRef90_A0A0K6BWB8,2,2,0.0,0.4452611863711001,-0.09662356321839083,False,not_yet_assessed
UniRef90_A0A174U258,2,2,0.0,0.44323429802955666,-0.07579022988505746,False,not_yet_assessed
UniRef90_K1FSS9,2,2,0.0,0.4407199302134647,-0.08099856321839083,False,not_yet_assessed
UniRef90_D6DDN4,2,2,0.0,0.43866738505747127,-0.04813218390804602,False,not_yet_assessed
UniRef90_A0A139TCP8,2,2,0.0,0.4305630387931034,-0.1152247536945813,False,not_yet_assessed
UniRef90_W6PL08,2,2,0.0,0.4291871921182266,-0.06896551724137934,False,not_yet_assessed
UniRef90_A0A0F0C824,2,2,0.0,0.42797490763546797,-0.04094827586206895,False,not_yet_assessed
UniRef90_Q5LBQ4,2,2,0.0,0.4202265496715928,-0.08459051724137934,False,not_yet_assessed
UniRef90_R6K753,2,2,0.0,0.41761596880131363,-0.08235837438423649,False,not_yet_assessed
UniRef90_A0A0K6BQY7,2,2,0.0,0.41730167282430214,-0.06896551724137934,False,not_yet_assessed
UniRef90_G9RSP7,2,2,0.0,0.4066476806239737,-0.06896551724137934,False,not_yet_assessed
